CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
30731000,01ST ST,BUSH ST \ MARKET ST,,,,BUSH ST \ MARKET ST intersection,,1
24666000,01ST ST,STEVENSON ST,,,,STEVENSON ST intersection,,3
24564000,01ST ST,JESSIE ST,,,,JESSIE ST intersection,,5
24530000,01ST ST,ELIM ALY,,,,ELIM ALY intersection,,7
24563000,01ST ST,MISSION ST,,,,MISSION ST intersection,,9
54001000,01ST ST,TRANSBAY HUMP,,,,TRANSBAY HUMP intersection,,11
24542000,01ST ST,MINNA ST,,,,MINNA ST intersection,,13
24534000,01ST ST,NATOMA ST,,,,NATOMA ST intersection,,15
24532000,01ST ST,HOWARD ST,,,,HOWARD ST intersection,,17
24528000,01ST ST,TEHAMA ST,,,,TEHAMA ST intersection,,19
24526000,01ST ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,21
24522000,01ST ST,FOLSOM ST,,,,FOLSOM ST intersection,,23
24500000,01ST ST,GUY PL,,,,GUY PL intersection,,25
24499000,01ST ST,LANSING ST,,,,LANSING ST intersection,,27
24494000,01ST ST,HARRISON ST \ I-80 E ON RAMP,,,,HARRISON ST \ I-80 E ON RAMP intersection,,29
50034000,01ST ST,END,,,,END intersection,,31
51403000,02ND AVE,END,,,,END intersection,,32
27579000,02ND AVE,LAKE ST,,,,LAKE ST intersection,,34
27577000,02ND AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,36
27565000,02ND AVE,CORNWALL ST,,,,CORNWALL ST intersection,,38
27246000,02ND AVE,CLEMENT ST,,,,CLEMENT ST intersection,,40
27231000,02ND AVE,GEARY BLVD,,,,GEARY BLVD intersection,,42
27226000,02ND AVE,ANZA ST,,,,ANZA ST intersection,,44
27224000,02ND AVE,BALBOA ST,,,,BALBOA ST intersection,,46
27212000,02ND AVE,CABRILLO ST,,,,CABRILLO ST intersection,,48
27210000,02ND AVE,FULTON ST,,,,FULTON ST intersection,,50
27181000,02ND AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,51
27070000,02ND AVE,HUGO ST,,,,HUGO ST intersection,,53
27068000,02ND AVE,IRVING ST,,,,IRVING ST intersection,,55
30734000,02ND ST,MARKET ST,,,,MARKET ST intersection,,56
24618000,02ND ST,STEVENSON ST,,,,STEVENSON ST intersection,,58
24605000,02ND ST,JESSIE ST,,,,JESSIE ST intersection,,60
24597000,02ND ST,MISSION ST,,,,MISSION ST intersection,,62
24594000,02ND ST,MINNA ST,,,,MINNA ST intersection,,64
24543000,02ND ST,NATOMA ST,,,,NATOMA ST intersection,,66
24540000,02ND ST,HOWARD ST,,,,HOWARD ST intersection,,68
24539000,02ND ST,TEHAMA ST,,,,TEHAMA ST intersection,,70
24535000,02ND ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,72
24519000,02ND ST,FOLSOM ST,,,,FOLSOM ST intersection,,74
24511000,02ND ST,DOW PL,,,,DOW PL intersection,,76
24510000,02ND ST,HARRISON ST,,,,HARRISON ST intersection,,78
24492000,02ND ST,STILLMAN ST,,,,STILLMAN ST intersection,,80
24490000,02ND ST,BRYANT ST,,,,BRYANT ST intersection,,82
24489000,02ND ST,TABER PL,,,,TABER PL intersection,,84
24486000,02ND ST,FEDERAL ST,,,,FEDERAL ST intersection,,86
24484000,02ND ST,SOUTH PARK,,,,SOUTH PARK intersection,,88
24483000,02ND ST,DE BOOM ST,,,,DE BOOM ST intersection,,90
23803000,02ND ST,BRANNAN ST,,,,BRANNAN ST intersection,,92
23800000,02ND ST,TOWNSEND ST,,,,TOWNSEND ST intersection,,94
23589000,02ND ST,KING ST,,,,KING ST intersection,,96
51402000,03RD AVE,END,,,,END intersection,,97
27584000,03RD AVE,LAKE ST,,,,LAKE ST intersection,,99
27583000,03RD AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,101
27582000,03RD AVE,CORNWALL ST,,,,CORNWALL ST intersection,,103
27247000,03RD AVE,CLEMENT ST,,,,CLEMENT ST intersection,,105
27245000,03RD AVE,GEARY BLVD,,,,GEARY BLVD intersection,,107
27236000,03RD AVE,ANZA ST,,,,ANZA ST intersection,,109
27235000,03RD AVE,BALBOA ST,,,,BALBOA ST intersection,,111
27234000,03RD AVE,CABRILLO ST,,,,CABRILLO ST intersection,,113
27233000,03RD AVE,FULTON ST,,,,FULTON ST intersection,,115
33560000,03RD AVE,KEZAR DR \ LINCOLN WAY,,,,KEZAR DR \ LINCOLN WAY intersection,,116
27193000,03RD AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,118
27081000,03RD AVE,HUGO ST,,,,HUGO ST intersection,,120
27079000,03RD AVE,IRVING ST,,,,IRVING ST intersection,,122
27065000,03RD AVE,PARNASSUS AVE,,,,PARNASSUS AVE intersection,,124
30738000,03RD ST,KEARNY ST \ MARKET ST,,,,KEARNY ST \ MARKET ST intersection,,125
