,x_loc,y_loc
0,-122.412414264,37.7830037965
1,-122.412597377,37.7839320277
2,-122.412249768,37.7825563302
3,-122.412249768,37.7825563302
4,-122.412249768,37.7825563302
5,-122.410509259,37.7860432223
6,-122.421395819,37.7856843389
7,-122.416235852,37.7849125738
8,-122.416235852,37.7849125738
9,-122.416235852,37.7849125738
10,-122.415088721,37.7836719564
11,-122.422540554,37.7869088658
12,-122.415632654,37.7863587808
13,-122.415632654,37.7863587808
14,-122.414242956,37.7837240254
15,-122.414242956,37.7837240254
16,-122.410135236,37.7841889075
17,-122.413298481,37.7870578243
18,-122.414242956,37.7837240254
19,-122.413174494,37.7867190156
20,-122.407845374,37.785094321
21,-122.409313111,37.7843478513
22,-122.41736733,37.7828626237
23,-122.419274801,37.7835680535
24,-122.418382009,37.7832583771
25,-122.412784097,37.784865694
26,-122.412784097,37.784865694
27,-122.421011928,37.7838226942
28,-122.409523741,37.7857602955
29,-122.420375368,37.7848006212
30,-122.420375368,37.7848006212
31,-122.419858277,37.7861371252
32,-122.414010815,37.7866770011
33,-122.414179437,37.7875024832
34,-122.411800135,37.7840890367
35,-122.408270724,37.7854941424
36,-122.419930112,37.7868262082
37,-122.414179437,37.7875024832
38,-122.414179437,37.7875024832
39,-122.410135236,37.7841889075
40,-122.410955249,37.784139951
41,-122.41565463,37.786467241
42,-122.41565463,37.786467241
43,-122.407612885,37.788448602
44,-122.407854235,37.7854922045
45,-122.407854235,37.7854922045
46,-122.407854235,37.7854922045
47,-122.416075285,37.7844496613
48,-122.407222441,37.7864562588
49,-122.411742516,37.7858882195
50,-122.421203512,37.7854812046
51,-122.415066876,37.7835634796
52,-122.407633521,37.7841893501
53,-122.409055191,37.7871979591
54,-122.413609329,37.7846969079
55,-122.413609329,37.7846969079
56,-122.408068345,37.7839916768
57,-122.412249768,37.7825563302
58,-122.42081833,37.7828946451
59,-122.410509259,37.7860432223
60,-122.419183096,37.7830998245
61,-122.419387181,37.7837899782
62,-122.408201657,37.7868849113
63,-122.408201657,37.7868849113
64,-122.408201657,37.7868849113
65,-122.416916142,37.7843944492
66,-122.416829148,37.7881786971
67,-122.407845374,37.785094321
68,-122.407845374,37.785094321
69,-122.413237517,37.7828430233
70,-122.411593096,37.7830529511
71,-122.411593096,37.7830529511
72,-122.409686192,37.7862042105
73,-122.407633521,37.7841893501
74,-122.407633521,37.7841893501
75,-122.407633521,37.7841893501
76,-122.41499672,37.7874530734
77,-122.407633521,37.7841893501
78,-122.407845374,37.785094321
79,-122.410135236,37.7841889075
80,-122.410699658,37.7869881885
81,-122.412999075,37.7862774592
82,-122.412999075,37.7862774592
83,-122.408068345,37.7839916768
84,-122.407244087,37.7865647608
85,-122.413609329,37.7846969079
86,-122.411778296,37.7839805593
87,-122.408040475,37.7864094034
88,-122.412999075,37.7862774592
89,-122.413135716,37.7862599043
90,-122.420775721,37.7867754821
91,-122.420941906,37.7875961622
92,-122.420941906,37.7875961622
93,-122.413162802,37.7870801005
94,-122.411987644,37.7850226623
95,-122.411987644,37.7850226623
96,-122.417710345,37.7842362878
97,-122.413609329,37.7846969079
98,-122.413609329,37.7846969079
99,-122.413609329,37.7846969079
100,-122.415885066,37.7835160564
101,-122.415885066,37.7835160564
102,-122.415885066,37.7835160564
103,-122.422467252,37.7826837259
104,-122.422467252,37.7826837259
105,-122.407633521,37.7841893501
106,-122.416452066,37.7863086886
107,-122.407244087,37.7865647608
108,-122.407244087,37.7865647608
109,-122.407244087,37.7865647608
110,-122.407244087,37.7865647608
111,-122.408421117,37.7835699387
112,-122.408421117,37.7835699387
113,-122.408421117,37.7835699387
114,-122.41565463,37.786467241
115,-122.412970538,37.7857883767
116,-122.421096797,37.7842937803
117,-122.411328369,37.785996305
118,-122.411328369,37.785996305
119,-122.409313111,37.7843478513
120,-122.410721626,37.7870966496
121,-122.406704879,37.7877920333
122,-122.408384276,37.7878271137
123,-122.412414264,37.7830037965
124,-122.409523741,37.7857602955
125,-122.413320632,37.7878471402
126,-122.411328369,37.785996305
127,-122.408040475,37.7864094034
128,-122.408201657,37.7868849113
129,-122.414593832,37.785119984
130,-122.411965795,37.784914186
131,-122.411615075,37.7831614109
132,-122.411615075,37.7831614109
133,-122.411615075,37.7831614109
134,-122.419834939,37.7863580363
135,-122.418090767,37.7861007452
136,-122.409925328,37.787764099
137,-122.408270724,37.7854941424
138,-122.408270724,37.7854941424
139,-122.408231026,37.787359495
140,-122.423217674,37.7864017954
141,-122.409925328,37.787764099
142,-122.420963777,37.7877046349
143,-122.420326994,37.7884521578
144,-122.410059856,37.788082534
145,-122.418940111,37.786049223
146,-122.409523741,37.7857602955
147,-122.409523741,37.7857602955
148,-122.409523741,37.7857602955
149,-122.411987644,37.7850226623
150,-122.407845374,37.785094321
151,-122.421096797,37.7842937803
152,-122.408231026,37.787359495
153,-122.409523741,37.7857602955
154,-122.409523741,37.7857602955
155,-122.40985373,37.7833862379
156,-122.408068345,37.7839916768
157,-122.408231026,37.787359495
158,-122.410955249,37.784139951
159,-122.410955249,37.784139951
160,-122.406690592,37.7852071918
161,-122.412597377,37.7839320277
