,inter1,inter2,node,x_loc,y_loc
0,1ST ST,BUSH ST,1ST ST | BUSH ST | ,37.791053,-122.399187
1,1ST ST,STEVENSON ST,1ST ST | STEVENSON ST | ,37.790600,-122.398619
2,1ST ST,JESSIE ST,"1ST ST | JESSIE ST | 1ST ST, STEVENSON ST,1ST ST, ELIM ALY,JESSIE ST, ECKER ST",37.790255,-122.398180
4,1ST ST,MISSION ST,"1ST ST | MISSION ST | 1ST ST, ELIM ALY,1ST ST, TRANSBAY HUMP,MISSION ST, FREMONT ST,MISSION ST, ECKER ST",37.789786,-122.397583
6,1ST ST,MINNA ST,"1ST ST | MINNA ST | 1ST ST, TRANSBAY HUMP,1ST ST, NATOMA ST,MINNA ST, SHAW ALY",37.789368,-122.397051
7,1ST ST,NATOMA ST,"1ST ST | NATOMA ST | 1ST ST, MINNA ST,1ST ST, HOWARD ST,NATOMA ST, FREMONT ST,NATOMA ST, 2ND ST",37.788986,-122.396573
8,1ST ST,HOWARD ST,"1ST ST | HOWARD ST | 1ST ST, NATOMA ST,1ST ST, TEHAMA ST,HOWARD ST, FREMONT ST,HOWARD ST, MALDEN ALY",37.788556,-122.396031
9,1ST ST,TEHAMA ST,"1ST ST | TEHAMA ST | 1ST ST, HOWARD ST,1ST ST, CLEMENTINA ST,TEHAMA ST, MALDEN ALY",37.788121,-122.395496
10,1ST ST,CLEMENTINA ST,"1ST ST | CLEMENTINA ST | 1ST ST, TEHAMA ST,1ST ST, FOLSOM ST,CLEMENTINA ST, ECKER ST",37.787727,-122.395011
11,1ST ST,FOLSOM ST,"1ST ST | FOLSOM ST | 1ST ST, CLEMENTINA ST,1ST ST, GUY PL,FOLSOM ST, GROTE PL,FOLSOM ST, ECKER ST",37.787335,-122.394524
12,1ST ST,GUY PL,"1ST ST | GUY PL | 1ST ST, FOLSOM ST,1ST ST, LANSING ST,GUY PL, LANSING ST",37.786877,-122.393942
13,1ST ST,LANSING ST,"1ST ST | LANSING ST | 1ST ST, GUY PL,1ST ST, HARRISON ST,LANSING ST, GUY PL",37.786429,-122.393527
14,1ST ST,HARRISON ST,"1ST ST | HARRISON ST | 1ST ST, LANSING ST,1ST ST, END,HARRISON ST, FREMONT ST,HARRISON ST, ESSEX ST",37.785985,-122.393067
17,2ND AVE,LAKE ST,"2ND AVE | LAKE ST | 2ND AVE, END,2ND AVE, CALIFORNIA ST,LAKE ST, ARGUELLO BLVD,LAKE ST, 3RD AVE",37.786872,-122.460411
